VideoFile,DropletID,DetectionType,WindowIndex,FrameStart,FrameEnd,TimeStart_s,TimeCenter_s,TimeEnd_s,MeanGray,ContrastStd,BrightMean,BrightFrac,BGMean_raw,BGStd_raw,BGMean_norm,BGStd_norm
VIDEO-2026-03-10-10-04-20.mp4,33,A,29,2761,2820,92,92.9833333333333,93.9666666666667,143.006968854951,35.5138944909093,225.926416931018,0.101694915254237,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,34,A,29,2761,2820,92,92.9833333333333,93.9666666666667,144.221868790962,37.6136694758864,232.633025343248,0.1,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,35,A,29,2761,2820,92,92.9833333333333,93.9666666666667,143.749282390464,36.2663884263084,229.642205952553,0.102362204724409,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,36,A,29,2761,2820,92,92.9833333333333,93.9666666666667,140.573014926133,34.966312531467,218.348794018929,0.102564102564103,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,37,A,29,2761,2820,92,92.9833333333333,93.9666666666667,146.688723077947,36.0591973295465,232.624618321826,0.100558659217877,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,38,A,29,2761,2820,92,92.9833333333333,93.9666666666667,144.402039625344,35.6495188652051,226.783762854543,0.1015625,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,39,A,29,2761,2820,92,92.9833333333333,93.9666666666667,140.53355424279,20.6782008804243,186.807445503969,0.103448275862069,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,40,A,29,2761,2820,92,92.9833333333333,93.9666666666667,143.755445531534,34.6647547284621,218.670269621057,0.104,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,41,A,29,2761,2820,92,92.9833333333333,93.9666666666667,139.383745512102,33.2005359635579,211.368122684616,0.0983606557377049,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,42,A,29,2761,2820,92,92.9833333333333,93.9666666666667,134.661726151353,36.8584972657047,220.661898245108,0.104,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,43,A,29,2761,2820,92,92.9833333333333,93.9666666666667,141.477654777994,38.5444219489213,235.745298329616,0.0973451327433628,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,44,A,29,2761,2820,92,92.9833333333333,93.9666666666667,144.859212871054,36.3102464212139,231.054119261991,0.101694915254237,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,45,A,29,2761,2820,92,92.9833333333333,93.9666666666667,144.619346220533,36.0262039963354,226.428695567939,0.100840336134454,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
VIDEO-2026-03-10-10-04-20.mp4,46,A,29,2761,2820,92,92.9833333333333,93.9666666666667,138.609017294212,40.2511241555719,232.733463483852,0.1,147.936623189703,23.5110838597201,148.20922643061,23.479959731776
